funding_round_permalink,interval,funding_round,company_country_code,company_sector,time_since_first_investment,time_since_last_investment,company_age,avg_time_between_rounds,investor_country_code,investor_name
/funding-round/8789a646213ad43dd5b52df55d700bd7,"[ 6000000 , 10000000 )",venture B,ISR,['Information Technology'],116.97,86.43,145.17,15.27,['ISR'],['Evergreen Venture Partners' 'Gemini Israel Ventures']
/funding-round/3b1fabe967bb4ceaf89eaed1dba9d30c,"[ 3791804 , 6000000 )",venture A,USA,"['Consumer Discretionary', 'Health Care']",55.93,2.63,59.93,8.88,['USA'],"['Founder Collective' 'HealthTech Capital' 'Kapor Capital'
 'New Enterprise Associates' 'Rock Health' 'TriplePoint Capital'
 'U.S. Venture Partners (USVP)']"
/funding-round/9479b18592fb935042233d85f5f308c3,"[ 20000000 , ... )",venture C,USA,"['Consumer Discretionary', 'Health Care']",55.93,2.63,59.93,8.88,['USA'],"['Andreessen Horowitz' 'dRx Capital' 'GE Ventures' 'Humana'
 'Norwest Venture Partners - NVP' 'Providence Health & Services'
 'Rock Health' 'U.S. Venture Partners (USVP)']"
/funding-round/a8f792399979b7e1c46ba392397386bd,"[ 414705 , 791647 )",seed,USA,"['Consumer Discretionary', 'Health Care']",55.93,2.63,59.93,8.88,['USA'],"['Aberdare Ventures' 'Kapor Capital' 'New Enterprise Associates'
 'Rock Health' 'TriplePoint Capital' 'Esther Dyson']"
/funding-round/d51698ad5570f0f929139ef5f0b1652e,"[ 10000000 , 20000000 )",venture B,USA,"['Consumer Discretionary', 'Health Care']",55.93,2.63,59.93,8.88,['USA'],"['Andreessen Horowitz' 'Kaiser Permanente Ventures' 'The Vertical Group'
 'U.S. Venture Partners (USVP)']"
/funding-round/8d7c3cbde30f8412af4a304c6dbb6a64,"[ 3791804 , 6000000 )",venture A,DEU,['Health Care'],37.03,7.77,35.57,14.63,['DEU' 'LUX'],"['High-Tech Gruenderfonds' 'KFW' 'VC Fonds Technologie Berlin'
 'Vesalius Biocapital Partners']"
/funding-round/871cd03d4a45d2a9fa104cb513f48e21,"[ 2100000 , 3791804 )",venture A,ISR,['Information Technology'],95.97,46.7,108.63,12.32,['USA'],['ff Venture Capital']
/funding-round/e1cfe294e22459fff2844fb5ce0153be,"[ 791647 , 1300000 )",venture B,ISR,['Information Technology'],95.97,46.7,108.63,12.32,['USA'],['SeventySix Capital']
/funding-round/148691acc5f3be7321318a35bc0db19d,"[ 791647 , 1300000 )",seed,GBR,"['Information Technology', 'Industrials']",34.53,2.23,34.53,8.07,['GBR' 'RUS'],"['Force Over Mass Capital' 'Inventure Partners' 'SAATCHiNVEST'
 'Lee Hudson' 'Nickyl Raithatha' 'Richard Fattal']"
/funding-round/6dca618c7f3dadf82c58e3d5c31a2b4e,"[ 791647 , 1300000 )",seed,GBR,"['Information Technology', 'Industrials']",34.53,2.23,34.53,8.07,['GBR' 'USA'],"['AngelLab' 'Alastair Mitchell' 'Andy McLoughlin' 'Guy Westlake'
 'Ned Cranborne' 'Phil Wilkinson' 'Sean Cornwell' 'Shan Drummond'
 'Tim Jackson']"
/funding-round/a3c7c3a07e5a35c37896b34b51500863,"[ 2100000 , 3791804 )",venture A,ESP,['Consumer Discretionary'],21.3,21.3,35.57,1.0,['ESP' 'JEY' 'USA'],['Kibo Ventures' 'London Venture Partners' 'Nokia Growth Partners']
/funding-round/fe50fda1dd98b6abea4c13af72eb23e8,"[ 10000000 , 20000000 )",venture B,USA,['Information Technology'],192.87,188.43,206.03,2.22,['USA'],['Aether Systems' 'Sprout Group']
/funding-round/7cc01bf0d63be69dba31e9b199317e8c,"[ 1300000 , 2100000 )",seed,GBR,"['Industrials', 'Information Technology']",60.97,60.97,84.27,1.0,['GBR'],['Charlotte Street Capital']
/funding-round/574c0416f801c87effb1296e47e72f7c,"[ 20000000 , ... )",venture E,USA,"['Financials', 'Information Technology', 'Consumer Discretionary', 'Communication Services']",140.73,92.23,218.2,24.25,['USA'],['Canaan Partners' 'Rho Ventures' 'U.S. Venture Partners (USVP)']
/funding-round/7a071f9416d74d20ea490e88d67ca4ed,"[ 791647 , 1300000 )",seed,GBR,['Information Technology'],4.93,4.93,23.4,1.0,['FRA'],['Partech Ventures']
/funding-round/1af8acb1c3d95f25aba628245485709d,"[ 791647 , 1300000 )",seed,USA,['Industrials'],44.47,44.43,59.93,1.0,['USA'],['Rev1 Ventures']
/funding-round/c2d180c0c38643f1310e936f53435bfe,"[ 791647 , 1300000 )",seed,USA,['Industrials'],40.63,40.47,45.4,1.0,['USA'],"['Accel' 'Cowboy Ventures' 'FLOODGATE' 'Mucker Capital'
 'NextView Ventures' 'Trinity Ventures']"
/funding-round/f923e8c3aa8d364e52cbba3b35a232dd,"[ 791647 , 1300000 )",seed,USA,['Industrials'],40.63,40.47,45.4,1.0,['USA'],"['Accel' 'FLOODGATE' 'NextView Ventures' 'Red Swan Ventures'
 'Trinity Ventures']"
/funding-round/28d76c43ade8f2c6502ba2247cbb179f,"[ 20000000 , ... )",venture C,USA,"['Industrials', 'Consumer Discretionary']",72.97,16.33,84.27,9.44,['USA'],"['Greylock Partners' 'Kleiner Perkins Caufield & Byers'
 'Tiger Global Management']"
/funding-round/675d178106f447340a483128d69b2910,"[ 20000000 , ... )",venture E,USA,"['Industrials', 'Consumer Discretionary']",72.97,16.33,84.27,9.44,['USA'],"['Greylock Partners' 'IVP' 'Kleiner Perkins Caufield & Byers'
 'Mousse Partners' 'Scripps Networks Interactive'
 'Tiger Global Management']"
/funding-round/ad1562dc34e7d56b6024f21cfb347f22,"[ 20000000 , ... )",venture D,USA,"['Industrials', 'Consumer Discretionary']",72.97,16.33,84.27,9.44,['USA'],"['Greylock Partners' 'IVP' 'Kleiner Perkins Caufield & Byers'
 'Tiger Global Management']"
/funding-round/ef82abd5ab406b1e9c3d8c43b163bd73,"[ 6000000 , 10000000 )",venture B,USA,"['Industrials', 'Consumer Discretionary']",72.97,16.33,84.27,9.44,['USA'],"['First Round' 'Greylock Partners' 'Kleiner Perkins Caufield & Byers'
 'TriplePoint Capital' 'Marissa Mayer' 'Reid Hoffman']"
/funding-round/77d584b9af618cadcf0c7c084bcc7b2e,"[ 791647 , 1300000 )",seed,USA,['Consumer Discretionary'],31.57,3.27,31.27,7.08,['USA' 'MEX' 'ISR'],"['FundersClub' 'General Catalyst Partners' 'Idea Bulb Ventures'
 'Maverick Capital' 'Start Fund' 'StartCaps Ventures' 'Wefunder'
 'Winklevoss Capital' 'Y Combinator' 'Adeyemi Ajao' 'Alfredo Osorio'
 'Brendan Wallace' 'Lew Moorman' 'Oliver Jung']"
/funding-round/d6f71695c060ebf16a9fa4eaff66b94e,"[ 791647 , 1300000 )",seed,USA,['Consumer Discretionary'],31.57,3.27,31.27,7.08,['USA' 'TUR'],"['Arena Ventures' 'Aslanoba Capital' 'Cornerstone On-Demand'
 'Cornerstone OnDemand' 'Idea Bulb Ventures' 'Wasabi Ventures']"
/funding-round/0f118ac951c01ecdc13e17c80f202c6c,"[ 791647 , 1300000 )",seed,USA,['Information Technology'],7.6,7.6,23.4,1.0,['JPN' 'USA'],['Rakuten Ventures' 'Y Combinator' 'Justin Kan' 'Zach Coelius']
/funding-round/944bd07af31ba9e3a740c4964d8eb5c5,"[ 3791804 , 6000000 )",venture A,USA,"['Consumer Discretionary', 'Information Technology']",95.43,31.3,99.07,16.03,['USA'],['Ignition Partners']
/funding-round/a9786850daad076bb64cc9af7763c762,"[ 10000000 , 20000000 )",venture B,USA,"['Consumer Discretionary', 'Health Care', 'Communication Services']",65.17,32.53,108.63,16.32,['USA'],['Lemhi Ventures']
/funding-round/ad8f6e07f70dd9c450f76785ba349710,"[ 10000000 , 20000000 )",venture A,USA,"['Consumer Discretionary', 'Health Care', 'Communication Services']",65.17,32.53,108.63,16.32,['USA'],['Lemhi Ventures']
/funding-round/9392045141ae3b3e8767fe2491713dea,"[ 10000000 , 20000000 )",venture B,USA,['Information Technology'],33.43,5.6,315.6,13.92,['USA'],['Technology Crossover Ventures']
/funding-round/229b52844845dfa39a6259e8fa0b51cf,"[ 3791804 , 6000000 )",venture B,USA,['Industrials'],86.9,48.87,157.33,19.02,['USA'],['Fung Capital USA']
/funding-round/e56f19d9dd1a35129eb8b46c6960d824,"[ 6000000 , 10000000 )",venture A,USA,['Industrials'],86.9,48.87,157.33,19.02,['USA'],['Bessemer Venture Partners']
/funding-round/d2bfffa586cd59ef2478e1c9b4be6701,"[ 791647 , 1300000 )",seed,LUX,"['Information Technology', 'Industrials']",74.13,70.23,93.43,1.95,['IRL'],"['Dublin Business Innovation Centre' 'Enterprise Equity'
 'Enterprise Ireland']"
/funding-round/9759509ea90a473e0b5c865290a51916,"[ 6000000 , 10000000 )",venture C,USA,['Information Technology'],170.2,82.2,230.37,29.33,['ISR'],['Catalyst Fund LP' 'Jerusalem Global Ventures']
/funding-round/efafcab1ed7b9b6fa400c5f439badd88,"[ 414705 , 791647 )",seed,ESP,"['Information Technology', 'Consumer Discretionary', 'Communication Services']",7.7,7.7,71.07,1.0,['ESP'],['Alva House Capital']
/funding-round/34f40f9a228f6867edbb24b414fa959d,"[ 3791804 , 6000000 )",venture A,AUS,['Health Care'],122.87,122.87,132.97,1.0,['USA' 'AUS'],['Alloy Ventures' 'Alta Partners' 'GBS Ventures' 'Uniseed Ventures']
